date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:11	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20May%202022%2007:11:13%20GMT	http://baogam.com/robots.txt		(from )
14:11:12	27294/27294	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2007:11:13%20GMT	http://baogam.com/	D:/Desktop/web/web/baogam.com/index.html	(from )
14:11:13	5842/5842	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2007:11:15%20GMT	http://gmpg.org/xfn/11	D:/Desktop/web/web/gmpg.org/xfn/11.html	(from http://baogam.com/)
14:11:13	684/684	---M--	200	added ('OK')	text/css	etag:%22c23fe-2ac-55b7e63cd38df%22	http://baogam.com/wp-content/plugins/simple-popup-manager/css/style.css?ver=4.8.2	D:/Desktop/web/web/baogam.com/wp-content/plugins/simple-popup-manager/css/style4a41.css	(from http://baogam.com/)
14:11:13	14460/14460	---M--	200	added ('OK')	text/css	etag:%22640c8-387c-55b7e63cceac0%22	http://baogam.com/wp-content/themes/baogam/style.css?ver=4.8.2	D:/Desktop/web/web/baogam.com/wp-content/themes/baogam/style4a41.css	(from http://baogam.com/)
14:11:15	117305/117305	---M--	200	added ('OK')	text/css	etag:%2263d67-1ca39-55b7e63c92202%22	http://baogam.com/wp-content/themes/baogam/assets/css/bootstrap.min.css?ver=4.8.2	D:/Desktop/web/web/baogam.com/wp-content/themes/baogam/assets/css/bootstrap.min4a41.css	(from http://baogam.com/)
14:11:19	69727/69727	---M--	200	added ('OK')	text/css	etag:%2263d71-1105f-55b7e63c92202%22	http://baogam.com/wp-content/themes/baogam/assets/css/animate.min.css?ver=4.8.2	D:/Desktop/web/web/baogam.com/wp-content/themes/baogam/assets/css/animate.min4a41.css	(from http://baogam.com/)
14:11:19	5160/5160	---M--	200	added ('OK')	application/rss+xml	etag:%22f87f0534a2fca59997b3ae4228141dbf%22	http://baogam.com/comments/feed/	D:/Desktop/web/web/baogam.com/comments/feed/index.html	(from http://baogam.com/)
14:11:19	86682/86682	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2007:11:16%20GMT	http://s.w.org/	D:/Desktop/web/web/s.w.org/index.html	(from http://baogam.com/)
14:11:19	38019/38019	---M--	200	added ('OK')	text/css	etag:%2263d75-9483-55c96b4757680%22	http://baogam.com/wp-content/themes/baogam/assets/css/main.css?v=1652339473&ver=4.8.2	D:/Desktop/web/web/baogam.com/wp-content/themes/baogam/assets/css/main5c45.css	(from http://baogam.com/)
